"comment","user_id"
"""Hello","585"
"""That nickname """"cupcake"""" stole my heart 😭💜💜""","431"
"""""""But this is dance practice room"""" 😂😂""","652"
"Pleasee- 😭🤚🏼 Jin rappin again-","152"
"The way Jin gets mad 🤣🤣🤣🤣🤣🤣🤣","203"
"jk hugging her becoz she had a stain was cuteeeee","288"
"""No food for u","502"
"""I am in a full awe right now","797"
"Why they are so caring I'm crying","177"
"""Jin oppa is so","256"
"Please make more Y/N as the 8th member","975"
"""Honestly","401"
"aw thanks for this! <3","745"
"Thank you so much 😊💜","766"
"thank you‼️‼️😘","861"
"Bts rewind 2020 reaction mashup plz 💜💜","969"
"Good. I wait for love from you 💝💖","625"
"Kamsahamnida!","628"
"😍","975"
"😁😁😁😁😁","935"
"Will u update again","640"
"This is realy reaction???","392"
"Happy new year Liyon shi 😍😍🥰🥰🥰🥰🥰🥰🥰","495"
"Omg!!!❤","968"
"OMG this is 💣","741"
"YEY OMG HAPPY NEW YEAR!!!","466"
"This is best Edit ever😍💖","157"
"""So so so so so so so so so so POWERFUL","69"
"First 😘 Lovely ❤️👍","705"
"Love y'all ❤❤❤","685"
"beautiful happy new year ☃️🎄🎅","569"
"They're hottest!!","968"
"Amazing😁😁😁😁😍😍😍😍","241"
"OMG!💓💓💓","318"
"""Even if they’re not together","613"
"Good Job 💜🎀💙 This fmv is so hot 🔥🔥🔥","583"
"Good Job 💜🎀💙 This fmv is so hot 🔥🔥🔥","679"
"""Wait...Unnie","867"
"Hope to see LK in the future. ❤️","110"
"Can you do the video for tai from bangtan blazers","136"
"グクちゃんもLiSAも大好き💜 ステキな2人💜","707"
"This is amazing 😍💜💛","269"
"Sweeeeet 🌹","291"
"OMG SON TAN HERMOSOS 💞💗💓","268"
"😻😻💞","960"
"Perfectttt😍😍😍💜💜💜","772"
"""Lisa","783"
"You videos soo really super❤","332"
"Happy new year lizook 🥰🥰🥰🥰🥰🥰🥰💕","116"
"LizKook cute👌","214"
"Love..u..liskook","729"
"😍😍😍😍","831"
"Обожаю 😍 Снова шедевр! Браво 👏 С новым годом! ✨","295"
"Your work is JUST PERFECT.","795"
"loved it","248"
"Love lizkook","647"
"Im late👁💧👄💧👁 but i LOVE it 💜💜💜💜💜","460"
"Lisa","931"
"""Ты русская или","387"
"O M G 😘😘💓💓💓💓","220"
"Lõvê lisa🐰🐰🐰","781"
"Happy New Year ❤️❤️❤️❤️","776"
"Grazie per avermi risposto","777"
"Can you bring a new story 🤔🤔💭","155"
"frinds💖","344"
"Oh my god i loved","361"
"Hppy Laslikook 😍😘","789"
"So sweet 💞 Lizkook❤️❤️❤️😍😍😍","801"
"Popular opinion : we all want a longer version","104"
"😍😘😙💏💑❤💞","269"
"?","60"
"Theyvlook good together tbh","613"
"yes👍🏽👍🏽","226"
"Loved it 🤩🤩🤩🤩😍","152"
"😀😃","282"
"I love it❤❤😍","172"
"Ur best editor i ever seen","914"
"Both are 🥵🥵🥵🥵🥵","504"
"Bleak  🖤❣️🖤❣️🎤👌","201"
"SOOOO GOOD","984"
"Your liskook is still edit but the edit is good","326"
"Liyon Shi is the best YouTuber ever","324"
"Jungkook wawa lisa","889"
"LISA JK &JUNGKOOK","601"
